sample_index,token_id_uint64,mask_id,SALMONELLA_occurrences,DEINOCOCCUS_occurrences,THERMOCOCCUS_occurrences,METHANOSARCINA_occurrences,KLUYVEROMYCES_occurrences,ARABIDOPSIS_occurrences,DROSOPHILA_occurrences,CBRIGGSAE_occurrences
483,15555690368,57,0,0,0,0,0,11,17,6
484,15567123711,57,1,0,0,2,1,27,5,18
485,15571419328,58,0,0,0,0,1,30,24,15
486,15577825284,58,0,0,0,0,3,16,11,19
487,15594287243,58,0,0,0,0,0,4,0,6
488,15672016272,58,0,1,0,0,0,1,0,1
489,15689990151,58,1,0,0,0,0,2,1,0
490,15701192703,58,0,0,0,0,1,5,0,3
491,15715058635,58,0,0,0,0,0,2,0,0
492,15770716104,58,0,0,0,0,1,7,1,5
493,15850104771,59,0,0,0,0,0,1,1,0
494,15854207217,59,0,0,0,0,0,12,14,19
495,15854649356,59,0,0,0,1,0,6,12,5
496,15938232347,59,0,0,0,1,0,0,2,0
497,15974138629,59,0,0,0,0,0,1,3,0
498,15974193152,59,0,0,0,2,1,4,5,3
499,15980855424,59,0,0,0,0,0,10,6,16
500,16041119776,59,0,0,0,1,0,4,4,8
501,16120074247,60,0,0,0,1,0,4,1,6
502,16172709320,60,0,0,0,0,0,5,0,1
503,16223502348,60,0,0,0,0,1,1,6,7
504,16288505857,60,0,0,0,0,0,2,1,1
505,16307408831,60,0,0,0,0,2,11,8,6
506,16331841008,60,0,0,0,0,0,1,3,0
507,16341028224,60,0,0,0,1,0,0,3,5
508,16441684316,61,0,0,0,0,0,1,2,1
509,16559145003,61,1,0,0,0,1,9,2,16
510,16630449868,61,0,0,0,0,0,0,0,0
511,16643752128,62,0,0,0,0,1,21,14,27
512,16655452346,62,0,0,0,0,1,6,1,1
513,16693117950,62,0,0,0,0,0,8,8,14
514,16703845339,62,0,0,0,0,0,1,0,1
515,16723471544,62,0,0,0,0,0,1,2,1
516,16843784748,62,0,0,0,1,0,1,2,4
517,16897802235,62,0,0,0,0,2,14,9,49
518,16914609136,63,0,0,0,0,0,7,5,4
519,16922960061,63,0,0,0,0,0,3,1,2
520,16944448511,63,0,0,0,2,0,5,2,17
521,16956260416,63,0,0,0,0,0,5,7,12
522,16980049696,63,0,0,0,0,1,0,0,1
523,16980671776,63,0,0,0,0,0,5,2,5
524,17062419679,63,0,0,0,0,0,3,0,3
525,17118698543,63,0,0,0,0,0,0,0,0
526,17120217678,63,0,0,0,0,0,0,0,0
527,17180000811,64,0,0,1,0,4,15,3,9
