sample_index,token_id_uint64,mask_id,PSEUDOMONAS_occurrences,MYCOPLASMA_occurrences,METHANOCALDOCOCCUS_occurrences,HALOFERAX_occurrences,NEUROSPORA_occurrences,CELEGANS_occurrences
488,15672016272,58,0,0,0,0,0,1
489,15689990151,58,0,0,0,0,0,3
490,15701192703,58,0,0,0,0,2,3
491,15715058635,58,0,0,0,0,1,2
492,15770716104,58,0,0,0,0,0,3
493,15850104771,59,0,0,0,0,0,1
494,15854207217,59,0,0,0,0,0,32
495,15854649356,59,0,1,0,0,0,11
496,15938232347,59,0,0,0,0,0,0
497,15974138629,59,0,0,0,0,0,1
498,15974193152,59,0,0,0,0,1,3
499,15980855424,59,0,0,0,0,7,5
500,16041119776,59,0,0,0,0,1,5
501,16120074247,60,0,0,0,0,0,0
502,16172709320,60,0,0,0,0,0,0
503,16223502348,60,0,0,1,0,1,2
504,16288505857,60,0,0,0,0,0,1
505,16307408831,60,0,0,0,0,0,8
506,16331841008,60,0,0,0,0,1,4
507,16341028224,60,0,0,0,0,0,1
508,16441684316,61,0,0,0,0,0,0
509,16559145003,61,0,0,1,0,0,4
510,16630449868,61,0,0,0,0,0,3
511,16643752128,62,0,0,0,0,2,17
512,16655452346,62,1,0,1,0,0,2
513,16693117950,62,0,0,0,0,3,3
514,16703845339,62,0,0,0,0,0,0
515,16723471544,62,0,0,0,0,0,2
516,16843784748,62,0,0,0,0,0,1
517,16897802235,62,0,0,0,0,1,60
518,16914609136,63,0,0,1,0,0,7
519,16922960061,63,0,0,0,0,0,1
520,16944448511,63,0,1,2,0,2,14
521,16956260416,63,0,0,0,0,0,6
522,16980049696,63,1,0,0,0,0,1
523,16980671776,63,0,0,0,0,0,4
524,17062419679,63,0,0,1,0,0,5
525,17118698543,63,0,0,0,0,0,0
526,17120217678,63,0,0,0,0,0,1
527,17180000811,64,0,0,0,0,4,16
528,17182753472,64,0,0,0,0,0,43
529,17213165814,64,0,0,1,0,0,5
530,17385517043,64,0,0,0,0,0,4
531,17390159808,64,0,0,0,0,0,1
532,17394695176,64,0,0,0,0,1,0
533,17416269824,64,0,0,0,0,0,0
534,17423124349,64,0,0,1,0,2,2
535,17431027702,64,0,0,0,0,0,0
536,17434804400,64,0,0,1,0,0,7
537,17439266678,64,0,0,0,0,2,1
538,17449320470,65,0,0,0,0,0,0
539,17460048008,65,0,0,0,0,0,3
540,17464036352,65,0,0,3,0,12,156
541,17493668319,65,0,0,0,0,0,2
542,17511350783,65,0,1,0,0,0,7
543,17649487665,65,0,0,0,0,0,2
544,17706252247,65,0,0,0,0,4,3
545,17711564744,65,0,0,0,0,1,4
546,17717723134,66,0,0,0,0,1,50
547,17720933599,66,0,0,1,0,4,48
548,17721068648,66,0,0,0,0,0,2
549,17733791756,66,0,0,0,0,0,1
550,17749246080,66,0,0,1,0,2,15
551,17784927174,66,0,0,0,0,0,1
552,17787112899,66,0,0,0,0,0,3
553,17836033600,66,0,0,0,0,0,2
554,17850174462,66,0,0,0,0,0,11
555,17903399694,66,0,0,1,0,0,0
556,17949897714,66,0,0,0,0,0,0
557,17951643584,66,0,0,0,0,0,9
558,17976652799,66,0,0,5,0,3,25
559,17988321407,67,0,0,0,0,1,55
560,17988453363,67,0,0,0,0,2,3
561,18000642816,67,0,0,0,0,0,14
562,18019135360,67,0,0,0,0,0,2
563,18052334300,67,0,0,0,0,0,12
564,18080791817,67,0,0,0,0,0,0
565,18111016576,67,0,0,0,0,2,2
566,18119259103,67,0,0,0,0,2,12
567,18119377663,67,0,0,0,0,1,244
568,18187350269,67,0,0,0,0,5,2
569,18189910475,67,0,1,0,0,0,1
570,18199884231,67,0,0,0,0,1,1
571,18245250090,67,0,0,0,0,1,6
572,18253468668,67,0,0,0,0,0,15
573,18266196988,68,0,0,1,0,0,67
574,18299813921,68,0,0,0,0,0,4
575,18316793848,68,0,0,0,0,0,1
576,18455232512,68,0,0,0,0,0,22
577,18455470963,68,0,0,0,0,0,0
578,18470698159,68,0,0,1,0,0,4
579,18509428912,68,0,0,0,0,0,1
580,18530576386,69,0,0,0,0,4,7
581,18578703067,69,0,0,0,0,0,0
582,18580826683,69,0,0,0,0,0,0
583,18588419070,69,0,0,1,0,2,6
584,18642764784,69,0,1,1,0,2,5
585,18656251005,69,0,0,0,0,1,8
586,18694969782,69,0,0,0,0,1,0
587,18756919239,69,0,0,0,0,3,13
588,18790479555,69,0,0,0,0,1,7
589,18792514311,70,0,0,0,0,1,24
590,18801500795,70,0,0,0,0,1,2
591,18808228274,70,0,0,0,0,0,0
592,18812304704,70,0,0,0,0,0,1
593,18890096750,70,0,0,0,0,0,3
594,18924041727,70,0,0,1,0,6,8
595,19002687517,70,0,0,0,0,0,0
596,19058128883,70,0,1,1,0,8,30
597,19062079247,71,0,0,2,0,8,35
598,19113168835,71,0,0,0,0,2,1
599,19127602695,71,0,0,0,0,1,0
600,19159711171,71,0,0,0,0,0,2
601,19210857602,71,0,0,0,0,0,0
602,19268730571,71,0,0,0,0,0,1
603,19314768894,71,0,0,1,0,1,34
604,19338731528,72,0,0,0,0,0,8
605,19346227715,72,0,0,0,0,0,2
606,19377733762,72,0,0,0,0,1,6
607,19380880072,72,0,0,0,0,0,3
608,19457583832,72,0,0,0,0,0,0
