sample_index,token_id_uint64,mask_id,BACILLUS_occurrences,SULFOLOBUS_occurrences,POMBE_occurrences
728,23353218909,86,1,0,0
729,23354147010,87,0,0,0
730,23358013487,87,0,0,3
731,23370629118,87,1,0,0
732,23403989039,87,1,0,1
733,23454794508,87,0,0,0
734,23553168700,87,0,0,0
735,23609425088,87,0,0,2
736,23609731709,87,1,0,1
737,23616107201,87,0,0,0
738,23642425404,88,0,0,0
739,23874191343,88,0,0,0
740,23890870283,89,1,0,2
741,23893392904,89,0,1,0
742,23894935356,89,0,0,0
743,23908764300,89,0,0,0
744,23927394292,89,0,0,0
745,24037558283,89,1,0,1
746,24092790720,89,0,0,2
747,24143458293,89,0,0,1
748,24150614000,89,0,0,0
749,24159289864,90,0,0,0
750,24159596523,90,0,0,0
751,24161044475,90,1,0,1
752,24161287687,90,0,0,1
753,24189108264,90,1,0,0
754,24211929283,90,0,1,0
755,24260593091,90,0,0,0
756,24297209661,90,0,0,0
757,24388764396,90,0,0,0
758,24410882240,90,0,0,2
759,24478154819,91,0,0,0
760,24541146559,91,0,0,0
761,24558499837,91,0,0,0
762,24602679915,91,0,0,0
763,24617156800,91,0,1,0
764,24628693999,91,0,0,2
765,24634173519,91,0,0,0
766,24658592527,91,0,0,0
767,24681247693,91,0,0,0
768,24696097199,92,0,0,0
769,24698932076,92,0,0,0
770,24720246039,92,0,0,0
771,24890098017,92,0,0,0
772,24950878184,92,0,0,0
773,24956105601,92,0,0,0
774,24966578017,93,0,0,1
775,24967383808,93,2,0,2
776,24967643963,93,0,1,0
777,24972840951,93,1,0,1
778,24977060363,93,1,0,0
779,25166481581,93,0,1,0
780,25188750327,93,0,0,0
781,25202703808,93,0,0,0
782,25228945538,93,0,0,0
783,25229460227,93,0,0,2
784,25229775871,93,0,0,2
785,25238961393,94,0,0,0
786,25241014143,94,0,0,1
787,25250532059,94,0,0,0
788,25258098096,94,0,0,0
789,25369379006,94,2,0,1
790,25438444543,94,0,0,0
791,25440501999,94,0,0,0
792,25441562032,94,0,0,0
793,25468600363,94,0,0,1
794,25497493501,94,0,0,1
795,25498025495,94,0,0,0
796,25502089230,95,0,0,1
797,25503474208,95,0,0,2
798,25567493887,95,1,0,5
799,25624951903,95,0,0,0
800,25677467536,95,0,0,0
801,25756807872,95,1,0,0
802,25769814912,96,0,0,2
803,25794486784,96,0,0,0
804,25858932931,96,0,0,0
805,25862171656,96,0,0,0
806,25967189763,96,0,0,0
807,26021573371,96,0,0,0
808,26036928495,96,0,0,0
809,26038227122,96,0,0,0
810,26058885665,97,0,0,0
811,26163935087,97,0,0,0
812,26168373631,97,0,0,0
813,26238516687,97,0,0,1
814,26239688659,97,0,0,2
815,26273112062,97,0,0,4
816,26279410639,97,0,0,0
817,26286261472,97,0,0,0
818,26307524786,98,0,0,0
819,26363085180,98,0,0,0
820,26438406156,98,0,0,0
821,26525593407,98,0,0,1
822,26541555111,98,0,0,1
823,26575335935,99,1,0,1
824,26577404464,99,0,0,2
825,26587889698,99,0,0,3
826,26610893344,99,0,0,1
827,26642022335,99,0,0,4
828,26711627912,99,0,0,0
829,26789022419,99,0,0,0
830,26835107872,99,0,0,0
831,26841447472,99,2,0,2
832,26845929986,100,0,0,0
833,26893715456,100,0,1,0
834,26894966784,100,1,0,1
835,26926969217,100,0,0,0
836,26946314242,100,1,0,0
837,26975657855,100,0,0,13
838,27044859703,100,0,0,2
839,27102806527,100,0,0,5
840,27113028860,101,1,0,8
841,27115244848,101,2,0,0
842,27116045216,101,0,0,2
843,27119081988,101,0,0,0
844,27233689469,101,1,0,0
845,27245420543,101,1,0,1
846,27249734662,101,0,0,0
847,27254538111,101,0,0,0
848,27262967974,101,0,0,0
849,27360775671,101,0,0,0
850,27447520572,102,1,0,0
851,27460944846,102,0,1,0
852,27572355394,102,0,0,0
853,27598717986,102,0,0,0
854,27648327419,102,0,0,1
855,27661435552,103,0,0,0
856,27684241359,103,0,0,0
857,27702000579,103,0,0,0
858,27716718541,103,0,0,0
859,27808170035,103,0,0,0
860,27868182495,103,0,1,0
861,27883598598,103,0,0,1
862,27914144768,103,1,1,3
863,27917417644,104,0,0,0
864,27925923970,104,1,0,0
865,27934615687,104,0,0,0
866,27938504959,104,0,0,0
867,28044378108,104,0,0,0
868,28100443257,104,0,0,0
869,28118843383,104,1,1,4
870,28143530999,104,0,0,0
871,28185854915,105,1,0,1
872,28201648967,105,0,0,0
873,28354556864,105,0,0,0
874,28371045633,105,0,0,0
875,28416311988,105,0,0,0
876,28440542194,105,0,0,7
877,28443150032,105,1,0,0
878,28453646335,105,2,0,3
879,28454155251,105,1,1,28
880,28454203634,106,1,0,0
881,28454291712,106,0,1,1
882,28462552816,106,0,0,0
883,28463460872,106,0,0,1
884,28486746140,106,0,0,1
885,28505489323,106,0,0,1
886,28523102980,106,0,0,0
887,28523631808,106,0,0,1
888,28592603144,106,1,1,2
889,28658458593,106,1,0,0
890,28663090239,106,0,0,0
891,28664131592,106,0,0,0
892,28668231616,106,0,0,0
893,28714778448,106,0,0,0
894,28723692048,107,0,0,0
895,28728225825,107,0,0,0
896,28763290635,107,0,0,0
897,28782103614,107,0,1,2
898,28891379196,107,0,0,0
899,28912364606,107,0,0,0
900,28931062528,107,0,0,0
901,28937597443,107,0,1,3
902,28980534269,107,0,0,0
903,29020374795,108,0,0,0
904,29055909932,108,0,0,0
905,29058460662,108,0,0,0
906,29104275839,108,0,0,0
907,29124902768,108,0,0,0
908,29135782077,108,0,0,0
909,29171353372,108,0,0,0
910,29181004768,108,0,0,0
911,29192027527,108,0,0,0
912,29194910784,108,0,0,2
913,29248980608,108,0,0,0
